ID	Type	Comment	RelatesTo
ID	TYPE	A skos:editorialNote	I dcterms:relation SPLIT=|
ex:exp_caa001b	gc:MolecularComputation	AM1 code didn't adjust the internal constraints	
ex:exp_caa002b	gc:MolecularComputation	initial runs where 8,3 distance at 2A was too quick and broke up the molecule	
ex:exp_caa002d	gc:MolecularComputation	the run showed that the constraints applied destroyed the molecular geometry.	
ex:exp_caa002e	gc:MolecularComputation	the run showed that the constraints applied destroyed the molecular geometry.	
ex:exp_caa004a	gc:MolecularComputation	starting from the hydrate with a view to stretching one of the CO bonds.	
ex:exp_caa004m	gc:MolecularComputation	this structure appears to be very close to the transitions state within the bounds of the level of theory.	
ex:exp_caa005b	gc:MolecularComputation	using PROJCT=.t. in $FORCE took the\n rotations/translations to 0cm-1	
ex:exp_caa005bTSa	gc:MolecularComputation	interesting that the ClC bond is antiperiplanar to the leaving oxygen\n is this exclusive to the mechanism or will it work with anti-planarity to the incipient carbonyl oxygen?	
ex:exp_caa005bTSaIRCb	gc:MolecularComputation	the same geometry (from caa005bTSa.log) was used in each backward / forward scans	
ex:exp_caa006a	gc:MolecularComputation	geometry from caa005bTSa.log so at top of IRC	
ex:exp_caa006b	gc:MolecularComputation	geometry from caa005bTSa.log so at start (1st frame) of IRC	
ex:exp_caa005bIRCCML1stdef2TZVPP	gc:MolecularComputation	an attempt to run the 1st IRC geometry at a high level of theory	
ex:exp_caa005bIRCCML1stdef2TZVPPa	gc:MolecularComputation	another failed attempt to run the 1st IRC geometry at a high level of theory	
ex:exp_caa005bIRCCML1stdef2TZVPPb	gc:MolecularComputation	fixed SOSCF/DIIS conflict and $FORCE method; still showed runaway negative Hessian curvature from the first optimization step	
ex:exp_caa005bIRCCML1stdef2TZVPPc	gc:MolecularComputation	tried an upfront analytic Hessian (HESS=CALC); aborted, wB97X-D not supported for the TD-DFT/analytic-Hessian machinery this needs	
ex:exp_caa005bIRCCML1stdef2TZVPPd	gc:MolecularComputation	semi-numerical Hessian, IHREP=2; two independently computed Hessians both showed 16 simultaneous negative eigenvalues -- real feature of the surface, not numerical noise	
ex:exp_caa005bIRCCML1st-prerelax-631Gdp	gc:MolecularComputation	relaxed the 1st IRC geometry at wB97X-D/6-31G(d,p)/PCM(water) as a bridging step; converged, zero imaginary frequencies -- genuine minimum	
ex:exp_caa005bIRCCML1stdef2TZVPPe	gc:MolecularComputation	re-ran def2-TZVPP starting from the confirmed 6-31G(d,p) minimum; the same 16 negative eigenvalues recurred, ruling out a bad starting geometry	
ex:exp_caa005bIRCCML1stdef2TZVPP-uhfcheck	gc:MolecularComputation	UHF with MIX=.true. at the same geometry found a lower, spin-contaminated solution (S**2=1.487)	
ex:exp_caa005bIRCCML1stdef2TZVPP-uhfcheck-nomix	gc:MolecularComputation	control run: plain UHF (no MIX) reconverged straight to the RHF energy, S**2~0 -- ruled out a genuine RHF/electronic instability	
ex:exp_caa005bIRC-def2svp-test	gc:MolecularComputation	fresh def2-SVP basis (verified byte-for-byte vs Basis Set Exchange); crashed "DGEMM parameter 13 illegal value" before the first SCF cycle	
ex:exp_caa005bIRC-trimmedTZVPP-test	gc:MolecularComputation	def2-TZVPP with shells removed, using already-proven basis text (not retyped); same DGEMM crash -- ruled out bad/mistyped basis data specifically	
